"InternalName","OldDisplay","NewDisplay","SkipReason","Action"
"Title","Title","Title","Built-in Title field (pass -IncludeTitleField to rename)","Skipped"
"_ColorTag","Color Tag","_ColorTag","Read-only column","Skipped"
"ComplianceAssetId","Compliance Asset Id","ComplianceAssetId","Protected SharePoint column","Skipped"
"cr0e0_pcfanchor","PCF Anchor","cr0e0_pcfanchor",,"Renamed"
"cr137_accesstoconfinedspacesincl","Access to Confined Spaces Included","cr137_accesstoconfinedspacesincl",,"Renamed"
"cr137_acmacompliancedetails","ACMA Compliance details","cr137_acmacompliancedetails",,"Renamed"
"cr137_airsidefencechangerequired","Airside Fence Change Required","cr137_airsidefencechangerequired",,"Renamed"
"cr137_airsideworkplan","Airside Work Plan","cr137_airsideworkplan",,"Renamed"
"cr137_ampsperphase","Amps Per Phase","cr137_ampsperphase",,"Renamed"
"cr137_antennaheight","Antenna Height","cr137_antennaheight",,"Renamed"
"cr137_antennalocation","Antenna Location","cr137_antennalocation",,"Renamed"
"cr137_applicantcontactperson","Contact Person","cr137_applicantcontactperson",,"Renamed"
"cr137_applicantemail","Email","cr137_applicantemail",,"Renamed"
"cr137_applicantfacsimile","Facsimile","cr137_applicantfacsimile",,"Renamed"
"cr137_applicantname","Name","cr137_applicantname",,"Renamed"
"cr137_applicantpostaladdress","Postal Address","cr137_applicantpostaladdress",,"Renamed"
"cr137_applicantsignature","Signature","cr137_applicantsignature",,"Renamed"
"cr137_applicanttelephone","Telephone","cr137_applicanttelephone",,"Renamed"
"cr137_applicationdate","Request Date","cr137_applicationdate",,"Renamed"
"cr137_applicationstatus","Application Status","cr137_applicationstatus",,"Renamed"
"cr137_architecturaldrawing","Electronic copy of Drawings / Plans - Architectural","cr137_architecturaldrawing",,"Renamed"
"cr137_asbestosregisterreviewed","Asbestos Register Reviewed","cr137_asbestosregisterreviewed",,"Renamed"
"cr137_backflowpreventiondeviceco","Backflow Prevention Device Confirmation","cr137_backflowpreventiondeviceco",,"Renamed"
"cr137_band","Band","cr137_band",,"Renamed"
"cr137_buildingactivityapplicatio","Building Activity Application","cr137_buildingactivityapplicatio",,"Renamed"
"cr137_buildingactivitynumber","BA Number","cr137_buildingactivitynumber",,"Renamed"
"cr137_buildingcodeanddisabilityc","Building Code & DDA Compliance","cr137_buildingcodeanddisabilityc",,"Renamed"
"cr137_buildingcontractornamw","Building Contractor Name","cr137_buildingcontractornamw",,"Renamed"
"cr137_buildingheight","Building height","cr137_buildingheight",,"Renamed"
"cr137_buildingsetbackback","Building setback - Back","cr137_buildingsetbackback",,"Renamed"
"cr137_buildingsetbackfront","Building setback - Front","cr137_buildingsetbackfront",,"Renamed"
"cr137_buildingsetbackside","Building setback - Side","cr137_buildingsetbackside",,"Renamed"
"cr137_buildingsitecoverage","Building site coverage","cr137_buildingsitecoverage",,"Renamed"
"cr137_carparkingnumber","Car parking Number","cr137_carparkingnumber",,"Renamed"
"cr137_certificatesforhealthandsa","Health, Fire & Protection Certificates Provided","cr137_certificatesforhealthandsa",,"Renamed"
"cr137_civildrawing","Electronic copy of Drawings / Plans - Civil","cr137_civildrawing",,"Renamed"
"cr137_connectionrequired","Connection Required","cr137_connectionrequired",,"Renamed"
"cr137_constructionenvironmentalm","Construction Environmental Management Plan","cr137_constructionenvironmentalm",,"Renamed"
"cr137_consultantcontactperson","Contact Person","cr137_consultantcontactperson",,"Renamed"
"cr137_consultantemail","Email","cr137_consultantemail",,"Renamed"
"cr137_consultantfacsimile","Facsimile","cr137_consultantfacsimile",,"Renamed"
"cr137_consultantname","Name","cr137_consultantname",,"Renamed"
"cr137_consultantpostaladdress","Postal Address","cr137_consultantpostaladdress",,"Renamed"
"cr137_consultanttelephone","Telephone","cr137_consultanttelephone",,"Renamed"
"cr137_craneorliftingplatformdeta","Crane and/or lifting platform details","cr137_craneorliftingplatformdeta",,"Renamed"
"cr137_craneorliftingplatformrequ","Crane / Lifting Platform Required","cr137_craneorliftingplatformrequ",,"Renamed"
"cr137_customscontrolledarea","Customs Controlled Area","cr137_customscontrolledarea",,"Renamed"
"cr137_demandforconnection","Demand","cr137_demandforconnection",,"Renamed"
"cr137_demolitiondetailsprovided","Demolition Details Provided","cr137_demolitiondetailsprovided",,"Renamed"
"cr137_designengineercertificatep","Design Engineer's Certificate Provided","cr137_designengineercertificatep",,"Renamed"
"cr137_developmentdetails","Development details to be provided","cr137_developmentdetails",,"Renamed"
"cr137_domesticwaterconnectionreq","Domestic Water Connection Required","cr137_domesticwaterconnectionreq",,"Renamed"
"cr137_domesticwaterdemand","Domestic water - Demand (size of supply or flow rate)","cr137_domesticwaterdemand",,"Renamed"
"cr137_domesticwatermeterprovided","Domestic Water Meter Provided","cr137_domesticwatermeterprovided",,"Renamed"
"cr137_drainageplanprovided","Drainage Plan Provided","cr137_drainageplanprovided",,"Renamed"
"cr137_dustfumesorodoursdetails","Dust, fumes or odours details","cr137_dustfumesorodoursdetails",,"Renamed"
"cr137_dustfumesorodoursproduced","Dust, Fumes or Odours Produced","cr137_dustfumesorodoursproduced",,"Renamed"
"cr137_electricalmaximumdemandand","Electrical maximum demand & supply","cr137_electricalmaximumdemandand",,"Renamed"
"cr137_electricalsupplyapplicatio","Electrical Supply Application Required","cr137_electricalsupplyapplicatio",,"Renamed"
"cr137_environmentalstrategy","Environmental Strategy","cr137_environmentalstrategy",,"Renamed"
"cr137_estimatedbuildingactivityv","Estimated Value of Building Activity","cr137_estimatedbuildingactivityv",,"Renamed"
"cr137_estimatedbuildingactivit_2","Estimated Value of Building Activity (Base)","cr137_estimatedbuildingactivit_2",,"Renamed"
"cr137_estimatedcompletiondate","Estimated Completion Date","cr137_estimatedcompletiondate",,"Renamed"
"cr137_estimatedstartdate","Estimated Start Date","cr137_estimatedstartdate",,"Renamed"
"cr137_excavationdetails","Excavation details","cr137_excavationdetails",,"Renamed"
"cr137_excavationincluded","Excavation Included","cr137_excavationincluded",,"Renamed"
"cr137_existingundergroundconduit","Existing Underground Conduit Utilised","cr137_existingundergroundconduit",,"Renamed"
"cr137_externallightingcompliance","External Lighting Compliant with MOS 139","cr137_externallightingcompliance",,"Renamed"
"cr137_feeamount","Fee Amount_OLD","cr137_feeamount",,"Renamed"
"cr137_feeamount_base","Fee Amount (Base)","cr137_feeamount_base",,"Renamed"
"cr137_feeamounttype","Fee Amount Type","cr137_feeamounttype",,"Renamed"
"cr137_fireengineeringsolutionreq","Fire Engineering Solution Required","cr137_fireengineeringsolutionreq",,"Renamed"
"cr137_firewaterconnectionrequire","Fire Water Connection Required","cr137_firewaterconnectionrequire",,"Renamed"
"cr137_firewaterdemand","Fire water - Demand (size of supply or flow rate)","cr137_firewaterdemand",,"Renamed"
"cr137_frequency","Frequency","cr137_frequency",,"Renamed"
"cr137_gasappliancesinstallation","Gas Appliances Installation","cr137_gasappliancesinstallation",,"Renamed"
"cr137_greasetrapsorinterceptorsp","Grease Traps / Interceptors Provided","cr137_greasetrapsorinterceptorsp",,"Renamed"
"cr137_hazardousmaterialstoragede","Details of any fuel, toxic and hazardous material storage during construction or site operation have been provided","cr137_hazardousmaterialstoragede",,"Renamed"
"cr137_heavyplantload","Heavy plant - Load","cr137_heavyplantload",,"Renamed"
"cr137_heavyplantlocation","Heavy plant - Location","cr137_heavyplantlocation",,"Renamed"
"cr137_heavyplanttype","Heavy plant - Plant","cr137_heavyplanttype",,"Renamed"
"cr137_heavyplantuseduringconstru","Heavy Plant Use During Construction","cr137_heavyplantuseduringconstru",,"Renamed"
"cr137_hotworksincluded","Hot Works Included","cr137_hotworksincluded",,"Renamed"
"cr137_importingfillmaterial","Importing Fill Material","cr137_importingfillmaterial",,"Renamed"
"cr137_internallightingdetailspro","Internal Lighting Details Provided","cr137_internallightingdetailspro",,"Renamed"
"cr137_landscapedrawing","Electronic copy of Drawings / Plans - Landscape","cr137_landscapedrawing",,"Renamed"
"cr137_landscapingcompliance","Landscaping Compliance (Master Plan / Guidelines)","cr137_landscapingcompliance",,"Renamed"
"cr137_landscapingincluded","Landscaping Included","cr137_landscapingincluded",,"Renamed"
"cr137_licencedetails","Licence Details","cr137_licencedetails",,"Renamed"
"cr137_masterplanreference","Masterplan","cr137_masterplanreference",,"Renamed"
"cr137_maximumexcavationdepth","Maximum depth","cr137_maximumexcavationdepth",,"Renamed"
"cr137_mdpdetails","MDP (as applicable)","cr137_mdpdetails",,"Renamed"
"cr137_meternumber","Number","cr137_meternumber",,"Renamed"
"cr137_meterprovided","Meter Provided (Electrical Supply)","cr137_meterprovided",,"Renamed"
"cr137_meterprovidedforconnection","Meter Provided (Connection)","cr137_meterprovidedforconnection",,"Renamed"
"cr137_newpenetrationslocation","New penetrations - Location","cr137_newpenetrationslocation",,"Renamed"
"cr137_newpenetrationsmaterial","New penetrations - Material","cr137_newpenetrationsmaterial",,"Renamed"
"cr137_newpenetrationsrequired","New Penetrations Required","cr137_newpenetrationsrequired",,"Renamed"
"cr137_newpenetrationssize","New penetrations - Size","cr137_newpenetrationssize",,"Renamed"
"cr137_newundergroundconduitprovi","New Underground Conduit Provided","cr137_newundergroundconduitprovi",,"Renamed"
"cr137_otherdrawings","Electronic copy of Drawings / Plans - Other","cr137_otherdrawings",,"Renamed"
"cr137_otherdrawingtype","Other drawing / plan type","cr137_otherdrawingtype",,"Renamed"
"cr137_ownercontactperson","Contact Person","cr137_ownercontactperson",,"Renamed"
"cr137_owneremail","Email","cr137_owneremail",,"Renamed"
"cr137_ownerfacsimile","Facsimile","cr137_ownerfacsimile",,"Renamed"
"cr137_ownername","Name","cr137_ownername",,"Renamed"
"cr137_ownerpostaladdress","Postal Address","cr137_ownerpostaladdress",,"Renamed"
"cr137_ownertelephone","Telephone","cr137_ownertelephone",,"Renamed"
"cr137_permanentequipmentaddition","Permanent Equipment Addition","cr137_permanentequipmentaddition",,"Renamed"
"cr137_permanentequipmentload","Permanent equipment - Load","cr137_permanentequipmentload",,"Renamed"
"cr137_permanentequipmentlocation","Permanent equipment - Location","cr137_permanentequipmentlocation",,"Renamed"
"cr137_portaluser","Portal User","cr137_portaluser",,"Renamed"
"cr137_potentialradiointerference","Potential Radio Interference","cr137_potentialradiointerference",,"Renamed"
"cr137_proposedconstructionhours","Proposed hours of construction activity","cr137_proposedconstructionhours",,"Renamed"
